symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,0.00002000,0.033,0.05990980,0.05993000,0.05995000,0.02300000,0.05994000,28.54480000,0.05995000,32.86770000,0.05993000,0.05999000,0.05980000,5706.41620000,341.87026664,1695464695515,1695551095515,423234085,423245150,11066
LTCBTC,-0.00001100,-0.450,0.00243904,0.00244500,0.00243400,20.81500000,0.00243400,130.80700000,0.00243500,11.32500000,0.00244500,0.00245100,0.00242500,21052.16500000,51.34712762,1695464687721,1695551087721,93595307,93603155,7849
BNBBTC,-0.00001300,-0.164,0.00791724,0.00793000,0.00791800,0.16000000,0.00791700,4.44200000,0.00791800,17.20500000,0.00793100,0.00793700,0.00789100,8856.20400000,70.11665370,1695464691642,1695551091642,227292981,227305675,12695
NEOBTC,-0.00000260,-0.930,0.00027865,0.00027980,0.00027710,2.12000000,0.00027660,33.83000000,0.00027690,31.41000000,0.00027970,0.00028050,0.00027590,7961.42000000,2.21841340,1695464678023,1695551078023,45529261,45530374,1114
QTUMETH,-0.00001700,-1.227,0.00136551,0.00138800,0.00136800,0.10000000,0.00137100,45.70000000,0.00137500,46.50000000,0.00138500,0.00138500,0.00135700,2088.10000000,2.85131340,1695464590627,1695550990627,5402342,5402367,26
EOSETH,0.00000080,0.222,0.00036260,0.00036040,0.00036190,16.30000000,0.00036190,531.60000000,0.00036260,650.70000000,0.00036110,0.00036550,0.00036010,21070.10000000,7.64009992,1695464610833,1695551010833,23498749,23498875,127
SNTETH,0.00000003,0.209,0.00001454,0.00001433,0.00001437,961.00000000,0.00001435,4372.00000000,0.00001442,17942.00000000,0.00001434,0.00001474,0.00001430,1331682.00000000,19.35650712,1695464672477,1695551072477,3910003,3911085,1083
BNTETH,-0.00000440,-1.743,0.00025088,0.00025390,0.00024800,59.20000000,0.00024810,33.40000000,0.00024900,35.10000000,0.00025240,0.00025400,0.00024730,4647.90000000,1.16608829,1695464602081,1695551002081,2235336,2235395,60
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
GASBTC,0.00000000,0.000,0.00009089,0.00009100,0.00009080,55.80000000,0.00009090,65.10000000,0.00009120,224.20000000,0.00009080,0.00009310,0.00008950,39522.60000000,3.59211775,1695464369109,1695550769109,20822697,20824324,1628
BNBETH,-0.00040000,-0.302,0.13207005,0.13230000,0.13200000,0.02500000,0.13200000,14.22700000,0.13210000,3.27000000,0.13240000,0.13260000,0.13110000,2321.17200000,306.55730170,1695464691437,1695551091437,56328166,56331325,3160
BTCUSDT,3.54000000,0.013,26576.66297387,26576.58000000,26580.12000000,0.00356000,26580.12000000,0.47169000,26580.13000000,13.84599000,26576.58000000,26632.81000000,26546.20000000,8419.73723000,223768518.69025150,1695464700146,1695551100146,3218491622,3218878576,386955
ETHUSDT,0.71000000,0.045,1592.48274312,1592.82000000,1593.53000000,0.04340000,1593.53000000,30.24570000,1593.54000000,86.69800000,1592.82000000,1596.27000000,1587.45000000,59255.03900000,94362627.05064800,1695464700207,1695551100207,1199602180,1199809821,207642
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
WTCBTC,-0.00000187,-23.030,0.00000719,0.00000818,0.00000625,449.00000000,0.00000621,977.00000000,0.00000626,1302.00000000,0.00000812,0.00000840,0.00000611,3859495.00000000,27.73180026,1695464622088,1695551022088,20196499,20205213,8715
WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
LRCBTC,-0.00000004,-0.611,0.00000656,0.00000655,0.00000651,32.00000000,0.00000651,3341.00000000,0.00000652,6500.00000000,0.00000655,0.00000667,0.00000647,979117.00000000,6.41824325,1695464338338,1695550738338,22107366,22108773,1408
LRCETH,-0.00000148,-1.349,0.00010975,0.00010928,0.00010820,104.00000000,0.00010851,578.00000000,0.00010901,2173.00000000,0.00010968,0.00011117,0.00010820,30097.00000000,3.30300129,1695464601368,1695551001368,4718764,4718821,58
QTUMBTC,-0.00000060,-0.725,0.00008245,0.00008290,0.00008220,23.00000000,0.00008220,282.60000000,0.00008230,733.50000000,0.00008280,0.00008320,0.00008190,32324.70000000,2.66520477,1695464629445,1695551029445,24073268,24073632,365
YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
OMGBTC,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
OMGETH,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
ZRXBTC,-0.00000004,-0.565,0.00000707,0.00000709,0.00000704,15.00000000,0.00000704,2653.00000000,0.00000707,605.00000000,0.00000708,0.00000718,0.00000702,116752.00000000,0.82541504,1695464609800,1695551009800,25402932,25403421,490
ZRXETH,0.00000000,0.000,0.00000000,0.00009940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
STRATBTC,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
STRATETH,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
SNGLSBTC,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
SNGLSETH,0.00000000,0.000,0.00000000,0.00005306,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
BQXBTC,0.00000000,0.000,0.00000000,0.00008703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
BQXETH,0.00000000,0.000,0.00000000,0.00126350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
KNCBTC,0.00000215,8.712,0.00002662,0.00002469,0.00002683,25.30000000,0.00002689,276.00000000,0.00002692,188.50000000,0.00002468,0.00002837,0.00002456,1394116.10000000,37.10520287,1695464699339,1695551099339,20242421,20252536,10116
KNCETH,0.00000000,0.000,0.00000000,0.00039410,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
FUNBTC,0.00000000,0.000,0.00000000,0.00000029,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
FUNETH,0.00000000,0.000,0.00000244,0.00000244,0.00000244,127796.00000000,0.00000243,171376.00000000,0.00000244,107966.00000000,0.00000244,0.00000247,0.00000242,1801202.00000000,4.39298784,1695464272957,1695550672957,3201308,3201360,53
SNMBTC,-0.00000069,-54.762,0.00000098,0.00000127,0.00000057,46703.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000126,0.00000147,0.00000055,26662465.00000000,26.13502488,1692586803266,1692673203266,14644423,14651718,7296
SNMETH,0.00000000,0.000,0.00000000,0.00004986,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
NEOETH,-0.00005300,-1.136,0.00465316,0.00466900,0.00461400,25.89000000,0.00461100,4.09000000,0.00461900,4.09000000,0.00466700,0.00468200,0.00460600,2653.66000000,12.34789858,1695464699978,1695551099978,11344233,11344634,402
IOTABTC,0.00000009,1.613,0.00000565,0.00000558,0.00000567,38123.00000000,0.00000567,1735.00000000,0.00000568,8381.00000000,0.00000558,0.00000571,0.00000557,2362607.00000000,13.34499305,1695464661307,1695551061307,34339768,34341430,1663
IOTAETH,0.00000060,0.642,0.00009381,0.00009310,0.00009400,768.00000000,0.00009450,664.00000000,0.00009480,366.00000000,0.00009340,0.00009500,0.00009300,37210.00000000,3.49060190,1695464655752,1695551055752,7782074,7782113,40
LINKBTC,0.00000530,2.017,0.00026756,0.00026290,0.00026810,9.66000000,0.00026790,1613.99000000,0.00026810,429.31000000,0.00026280,0.00027270,0.00026050,463661.57000000,124.05884041,1695464697137,1695551097137,89618565,89630653,12089
LINKETH,0.00008600,1.962,0.00446393,0.00438800,0.00446900,1.62000000,0.00447000,56.43000000,0.00447100,8.39000000,0.00438300,0.00454800,0.00435500,133573.95000000,596.26411564,1695464697297,1695551097297,20296275,20301785,5511
XVGBTC,0.00000000,0.000,0.00000000,0.00000015,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
XVGETH,-0.00000003,-1.435,0.00000208,0.00000210,0.00000206,674.00000000,0.00000206,1125411.00000000,0.00000208,160693.00000000,0.00000209,0.00000209,0.00000206,842531.00000000,1.75125858,1695464700011,1695551100011,11228503,11228544,42
SALTBTC,0.00000000,0.000,0.00000000,0.00004250,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
SALTETH,0.00000000,0.000,0.00000000,0.00113800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
MDABTC,0.00000000,0.000,0.00000000,0.00000382,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
MDAETH,0.00000000,0.000,0.00000000,0.00181150,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
MTLBTC,0.00000171,3.469,0.00005055,0.00004933,0.00005100,17.60000000,0.00005098,73.70000000,0.00005106,17.20000000,0.00004929,0.00005183,0.00004898,34734.00000000,1.75581875,1695464690742,1695551090742,20559966,20560458,493
